event at 1712306317.653077, code 00, type 00, val 08
event at 1712306317.653077, code 00, type 00, val 00
event at 1712306317.661071, code 00, type 00, val 07
event at 1712306317.661071, code 00, type 00, val 00
event at 1712306317.669156, code 00, type 00, val 06
event at 1712306317.669156, code 00, type 00, val 00
event at 1712306317.677033, code 00, type 00, val 06
event at 1712306317.677033, code 00, type 00, val 00
event at 1712306317.685079, code 00, type 00, val 06
event at 1712306317.685079, code 00, type 00, val 00
event at 1712306317.693026, code 00, type 00, val 06
event at 1712306317.693026, code 00, type 00, val 00
event at 1712306317.701162, code 00, type 00, val 05
event at 1712306317.701162, code 00, type 00, val 00
event at 1712306317.709027, code 00, type 00, val 05
event at 1712306317.709027, code 00, type 00, val 00
event at 1712306317.717030, code 00, type 00, val 04
event at 1712306317.717030, code 00, type 00, val 00
event at 1712306317.725031, code 00, type 00, val 04
event at 1712306317.725031, code 00, type 00, val 00
event at 1712306317.733164, code 00, type 00, val 02
event at 1712306317.733164, code 00, type 00, val 00
event at 1712306317.741036, code 00, type 00, val 02
event at 1712306317.741036, code 00, type 00, val 00
event at 1712306317.749033, code 00, type 00, val 01
event at 1712306317.749033, code 00, type 00, val 00
event at 1712306317.757024, code 00, type 00, val 01
event at 1712306317.757024, code 00, type 00, val 00
event at 1712306317.781023, code 00, type 00, val 02
event at 1712306317.781023, code 01, type 01, val -1
event at 1712306317.781023, code 00, type 00, val 00
event at 1712306317.805102, code 00, type 00, val 01
event at 1712306317.805102, code 00, type 00, val 00
event at 1712306317.813030, code 00, type 00, val 01
event at 1712306317.813030, code 00, type 00, val 00
event at 1712306317.829071, code 00, type 00, val 02
event at 1712306317.829071, code 01, type 01, val -1
event at 1712306317.829071, code 00, type 00, val 00
event at 1712306317.837163, code 00, type 00, val 01
event at 1712306317.837163, code 01, type 01, val -1
event at 1712306317.837163, code 00, type 00, val 00
event at 1712306317.877028, code 00, type 00, val 01
event at 1712306317.877028, code 01, type 01, val -1
event at 1712306317.877028, code 00, type 00, val 00
event at 1712306317.901059, code 00, type 00, val 01
event at 1712306317.901059, code 00, type 00, val 00
event at 1712306317.941015, code 00, type 00, val -1
event at 1712306317.941015, code 01, type 01, val 01
event at 1712306317.941015, code 00, type 00, val 00
event at 1712306317.949017, code 00, type 00, val -2
event at 1712306317.949017, code 01, type 01, val 01
event at 1712306317.949017, code 00, type 00, val 00
event at 1712306317.957016, code 00, type 00, val -3
event at 1712306317.957016, code 01, type 01, val 01
event at 1712306317.957016, code 00, type 00, val 00
event at 1712306317.965123, code 00, type 00, val -3
event at 1712306317.965123, code 00, type 00, val 00
event at 1712306317.973136, code 00, type 00, val -5
event at 1712306317.973136, code 00, type 00, val 00
event at 1712306317.981014, code 00, type 00, val -6
event at 1712306317.981014, code 01, type 01, val -2
event at 1712306317.981014, code 00, type 00, val 00
event at 1712306317.989047, code 00, type 00, val -5
event at 1712306317.989047, code 01, type 01, val -2
event at 1712306317.989047, code 00, type 00, val 00
event at 1712306317.997032, code 00, type 00, val -2
event at 1712306317.997032, code 01, type 01, val -3
event at 1712306317.997032, code 00, type 00, val 00
event at 1712306318.005082, code 00, type 00, val -1
event at 1712306318.005082, code 01, type 01, val -4
event at 1712306318.005082, code 00, type 00, val 00
event at 1712306318.013075, code 00, type 00, val -1
event at 1712306318.013075, code 01, type 01, val -2
event at 1712306318.013075, code 00, type 00, val 00
event at 1712306318.485130, code 00, type 00, val -1
event at 1712306318.485130, code 01, type 01, val -1
event at 1712306318.485130, code 00, type 00, val 00
event at 1712306318.501098, code 00, type 00, val -4
event at 1712306318.501098, code 01, type 01, val 03
event at 1712306318.501098, code 00, type 00, val 00
event at 1712306318.509127, code 00, type 00, val -3
event at 1712306318.509127, code 01, type 01, val 02
event at 1712306318.509127, code 00, type 00, val 00
event at 1712306318.517071, code 00, type 00, val -3
event at 1712306318.517071, code 01, type 01, val 01
event at 1712306318.517071, code 00, type 00, val 00
event at 1712306318.533066, code 00, type 00, val 01
event at 1712306318.533066, code 01, type 01, val -4
event at 1712306318.533066, code 00, type 00, val 00
event at 1712306318.541121, code 00, type 00, val 01
event at 1712306318.541121, code 01, type 01, val -3
event at 1712306318.541121, code 00, type 00, val 00
event at 1712306318.549131, code 00, type 00, val -1
event at 1712306318.549131, code 01, type 01, val -3
event at 1712306318.549131, code 00, type 00, val 00
event at 1712306318.557093, code 00, type 00, val -1
event at 1712306318.557093, code 01, type 01, val -3
event at 1712306318.557093, code 00, type 00, val 00
event at 1712306318.565057, code 00, type 00, val -2
event at 1712306318.565057, code 01, type 01, val -3
event at 1712306318.565057, code 00, type 00, val 00
event at 1712306318.573046, code 01, type 01, val -2
event at 1712306318.573046, code 00, type 00, val 00
event at 1712306318.581035, code 00, type 00, val -1
event at 1712306318.581035, code 01, type 01, val -4
event at 1712306318.581035, code 00, type 00, val 00
event at 1712306318.589038, code 01, type 01, val -1
event at 1712306318.589038, code 00, type 00, val 00
event at 1712306318.597036, code 01, type 01, val -2
event at 1712306318.597036, code 00, type 00, val 00
event at 1712306318.605032, code 01, type 01, val -3
event at 1712306318.605032, code 00, type 00, val 00
event at 1712306318.613139, code 01, type 01, val -2
event at 1712306318.613139, code 00, type 00, val 00
event at 1712306318.621037, code 01, type 01, val -3
event at 1712306318.621037, code 00, type 00, val 00
event at 1712306318.629029, code 00, type 00, val 01
event at 1712306318.629029, code 01, type 01, val -3
event at 1712306318.629029, code 00, type 00, val 00
event at 1712306318.637160, code 00, type 00, val 01
event at 1712306318.637160, code 01, type 01, val -2
event at 1712306318.637160, code 00, type 00, val 00
event at 1712306318.645169, code 00, type 00, val 01
event at 1712306318.645169, code 01, type 01, val -1
event at 1712306318.645169, code 00, type 00, val 00
event at 1712306320.077155, code 00, type 00, val -1
event at 1712306320.077155, code 00, type 00, val 00
event at 1712306320.085187, code 00, type 00, val -1
event at 1712306320.085187, code 00, type 00, val 00
event at 1712306320.093084, code 00, type 00, val -2
event at 1712306320.093084, code 01, type 01, val 01
event at 1712306320.093084, code 00, type 00, val 00
event at 1712306320.101136, code 00, type 00, val -2
event at 1712306320.101136, code 01, type 01, val 01
event at 1712306320.101136, code 00, type 00, val 00
event at 1712306320.109143, code 00, type 00, val -2
event at 1712306320.109143, code 01, type 01, val 01
event at 1712306320.109143, code 00, type 00, val 00
event at 1712306320.125080, code 00, type 00, val -2
event at 1712306320.125080, code 00, type 00, val 00
event at 1712306320.133092, code 00, type 00, val -3
event at 1712306320.133092, code 01, type 01, val 01
event at 1712306320.133092, code 00, type 00, val 00
event at 1712306320.141046, code 00, type 00, val -3
event at 1712306320.141046, code 01, type 01, val 01
event at 1712306320.141046, code 00, type 00, val 00
event at 1712306320.149161, code 00, type 00, val -2
event at 1712306320.149161, code 01, type 01, val 01
event at 1712306320.149161, code 00, type 00, val 00
event at 1712306320.157047, code 00, type 00, val -1
event at 1712306320.157047, code 00, type 00, val 00
event at 1712306320.165096, code 00, type 00, val -3
event at 1712306320.165096, code 01, type 01, val 01
event at 1712306320.165096, code 00, type 00, val 00
event at 1712306320.173172, code 00, type 00, val -3
event at 1712306320.173172, code 01, type 01, val 01
event at 1712306320.173172, code 00, type 00, val 00
event at 1712306320.181134, code 00, type 00, val -2
event at 1712306320.181134, code 00, type 00, val 00
event at 1712306320.189095, code 00, type 00, val -4
event at 1712306320.189095, code 01, type 01, val 01
event at 1712306320.189095, code 00, type 00, val 00
event at 1712306320.197068, code 00, type 00, val -2
event at 1712306320.197068, code 00, type 00, val 00
event at 1712306320.205112, code 00, type 00, val -4
event at 1712306320.205112, code 01, type 01, val 01
event at 1712306320.205112, code 00, type 00, val 00
event at 1712306320.213103, code 00, type 00, val -3
event at 1712306320.213103, code 01, type 01, val 01
event at 1712306320.213103, code 00, type 00, val 00
event at 1712306320.221078, code 00, type 00, val -3
event at 1712306320.221078, code 01, type 01, val 01
event at 1712306320.221078, code 00, type 00, val 00
event at 1712306320.229098, code 00, type 00, val -2
event at 1712306320.229098, code 00, type 00, val 00
event at 1712306320.237091, code 00, type 00, val -3
event at 1712306320.237091, code 00, type 00, val 00
event at 1712306320.245181, code 00, type 00, val -4
event at 1712306320.245181, code 01, type 01, val 01
event at 1712306320.245181, code 00, type 00, val 00
event at 1712306320.253052, code 00, type 00, val -3
event at 1712306320.253052, code 01, type 01, val 01
event at 1712306320.253052, code 00, type 00, val 00
event at 1712306320.261101, code 00, type 00, val -2
event at 1712306320.261101, code 00, type 00, val 00
event at 1712306320.269091, code 00, type 00, val -3
event at 1712306320.269091, code 01, type 01, val 01
event at 1712306320.269091, code 00, type 00, val 00
event at 1712306320.277180, code 00, type 00, val -1
event at 1712306320.277180, code 00, type 00, val 00
event at 1712306320.285074, code 00, type 00, val -4
